id,entity,start_char,end_char,label,doc_id
1,The Federal Reserve,0,19,ORG,1
2,U.S.,165,169,LOC,1
3,U.S.,517,521,LOC,1
4,May.,594,598,LOC,1
5,Canada,785,791,LOC,1
6,Canada,1203,1209,LOC,1
7,The Bank of Canada,1335,1353,ORG,1
8,U.S.,1798,1802,LOC,1
9,the Federal Reserve,1958,1977,ORG,1
10,Fed,2185,2188,ORG,1
11,Federal Reserve,2833,2848,ORG,1
12,Jerome Powell,2855,2868,PER,1
13,Fed,2952,2955,ORG,1
14,Michael Gregory,3352,3367,PER,1
15,Bank of Montreal,3395,3411,ORG,1
16,CBC News,3434,3442,ORG,1
17,Fed,3449,3452,ORG,1
18,The Federal Reserve,0,19,ORG,2
19,U.S.,165,169,LOC,2
20,U.S.,517,521,LOC,2
21,May.,594,598,LOC,2
22,Canada,785,791,LOC,2
23,Canada,1203,1209,LOC,2
24,The Bank of Canada,1335,1353,ORG,2
25,U.S.,1798,1802,LOC,2
26,the Federal Reserve,1958,1977,ORG,2
27,Fed,2185,2188,ORG,2
28,Federal Reserve,2833,2848,ORG,2
29,Jerome Powell,2855,2868,PER,2
30,Fed,2952,2955,ORG,2
31,Michael Gregory,3352,3367,PER,2
32,Bank of Montreal,3395,3411,ORG,2
33,CBC News,3434,3442,ORG,2
34,Fed,3449,3452,ORG,2
35,Canada,0,6,LOC,3
36,the Canadian Real Estate Association,286,322,ORG,3
37,Canada,687,693,LOC,3
38,Multiple Listing Service,1098,1122,ORG,3
39,Shaun Cathcart,1423,1437,ORG,3
40,Bank of Canada,1519,1533,ORG,3
41,Toronto,1664,1671,LOC,3
42,Vancouver,1676,1685,LOC,3
43,House,1733,1738,ORG,3
44,HPI,1752,1755,ORG,3
45,HPI,1863,1866,ORG,3
46,Toronto,2276,2283,LOC,3
47,Vancouver,2288,2297,LOC,3
48,Ontario,2454,2461,LOC,3
49,Rishi Sondhi,2521,2533,ORG,3
50,TD Bank,2553,2560,ORG,3
51,Ontario,2709,2716,LOC,3
52,British Columbia,2721,2737,LOC,3
53,the Greater,2847,2858,LOC,3
54,AnalysisNewest,3030,3044,ORG,3
55,Canada,3080,3086,LOC,3
56,"stability""It",3099,3111,ORG,3
57,GTA,3145,3148,ORG,3
58,Sondhi,3412,3418,PER,3
59,Toronto,3478,3485,LOC,3
60,Heaps Estrin,3509,3521,PER,3
61,Toronto,3544,3551,LOC,3
62,the Greater Toronto Area,3947,3971,ORG,3
63,Heaps,4194,4199,ORG,3
64,Wesley Favro,4643,4655,PER,3
65,Kelowna,4673,4680,LOC,3
66,B.C.,4682,4686,LOC,3
67,Tom Popyk/CBC)Another,4888,4909,PER,3
68,B.C.,4993,4997,LOC,3
69,Victoria,5020,5028,LOC,3
70,Vancouver,5033,5042,LOC,3
71,Wesley Favro,5108,5120,PER,3
72,Kelowna,5141,5148,ORG,3
73,B.C.,5270,5274,LOC,3
74,CBC News,5476,5484,ORG,3
75,COVID-19 vaccine,421,437,PER,4
76,Johnson & Johnson's,448,467,ORG,4
77,Canada,499,505,LOC,4
78,Ottawa,713,719,LOC,4
79,Intergovernmental Affairs Dominic LeBlanc,823,864,ORG,4
80,Isaac Bogoch,869,881,PER,4
81,Ottawa,1245,1251,LOC,4
82,Isaac Bogoch,1343,1355,PER,4
83,Omicron,1390,1397,ORG,4
84,Canada,1667,1673,LOC,4
85,Canada,1857,1863,LOC,4
86,the United States,1986,2003,LOC,4
87,Vaccine,2094,2101,PER,4
88,Omar Alghabra,2184,2197,PER,4
89,LeBlanc,2662,2669,ORG,4
90,U.S.,3104,3108,LOC,4
91,U.K.,3110,3114,LOC,4
92,Australia,3116,3125,LOC,4
93,Mexico,3127,3133,LOC,4
94,Spain,3135,3140,LOC,4
95,Germany,3145,3152,LOC,4
96,the Public Health Agency,3198,3222,ORG,4
97,Canada,3226,3232,LOC,4
98,PHAC,3234,3238,ORG,4
99,Central Africa,3366,3380,LOC,4
100,Canada,3478,3484,LOC,4
101,Samir Gupta,4093,4104,PER,4
102,CBC News,4272,4280,ORG,4
103,Samir Gupta,4895,4906,PER,4
104,B.C.,5002,5006,LOC,4
105,Montreal,5010,5018,LOC,4
106,Canada,5044,5050,LOC,4
107,Canada,5233,5239,LOC,4
108,Employment and Social Development Canada,5549,5589,ORG,4
109,Dominic LeBlanc,5769,5784,PER,4
110,Transport,5786,5795,LOC,4
111,Omar Alghabra,5805,5818,PER,4
112,Health,5823,5829,ORG,4
113,Jean-Yves Duclos,5839,5855,PER,4
114,Ottawa,5880,5886,LOC,4
115,Patrick Doyle/,5889,5903,PER,4
116,Toronto,197,204,LOC,5
117,Michael Katchen,250,265,PER,5
118,Ryan Reynolds,660,673,PER,5
119,Michael J. Fox,678,692,PER,5
120,Katchen,973,980,PER,5
121,Katchen,1515,1522,PER,5
122,Netflix,1900,1907,LOC,5
123,Klarna,1909,1915,LOC,5
124,Cameo,1917,1922,ORG,5
125,Bolt,1927,1931,PER,5
126,DMZ,2060,2063,ORG,5
127,Toronto,2067,2074,LOC,5
128,Communitech,2079,2090,ORG,5
129,Waterloo,2094,2102,LOC,5
130,Ont,2104,2107,PER,5
131,Katchen,2315,2322,LOC,5
132,Power Corp.,2349,2360,ORG,5
133,Microsoft,68,77,ORG,6
134,BlackBerry,241,251,ORG,6
135,Palm Pilots,279,290,ORG,6
136,Microsoft,366,375,ORG,6
137,Edge,468,472,ORG,6
138,Microsoft,560,569,ORG,6
139,Microsoft,640,649,ORG,6
140,Explorer,727,735,ORG,6
141,Sean Lyndersay,843,857,PER,6
142,Microsoft Edge Enterprise,878,903,ORG,6
